,combination,Ag,Al,As,Au,Co,Cr,Cu,Fe,Hf,Ir,Mn,Mo,Nb,Ni,Os,Pd,Pt,Re,Rh,Ru,Si,Ta,Tc,Ti,V,W,Zr,Label,set_name,length
1292,PdReRhRu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,High,Pd|Re|Rh|Ru,4
1293,ReTaTiW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,High,Re|Ta|Ti|W,4
1294,ReTaVZr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,High,Re|Ta|V|Zr,4
1295,ReTiVZr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,High,Re|Ti|V|Zr,4
1296,TaTiVW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,High,Ta|Ti|V|W,4
1297,TaVWZr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,High,Ta|V|W|Zr,4
1298,AgAlAuFe,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Al|Au|Fe,4
1299,AgAlAuZr,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,Ag|Al|Au|Zr,4
1300,AgAlCuFe,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Al|Cu|Fe,4
1301,AgAlCuSi,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low,Ag|Al|Cu|Si,4
1302,AgAlNiSi,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Low,Ag|Al|Ni|Si,4
1303,AgAuCoIr,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Co|Ir,4
1304,AgAuCoPd,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Co|Pd,4
1305,AgAuCoRh,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Au|Co|Rh,4
1306,AgAuCrNi,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Cr|Ni,4
1307,AgAuCuNi,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Ag|Au|Cu|Ni,4
1308,AgAuCuRh,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High,Ag|Au|Cu|Rh,4
1309,AgAuCuZr,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,Ag|Au|Cu|Zr,4
1310,AgAuFePd,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Ag|Au|Fe|Pd,4
1311,AgAuIrNi,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Ir|Ni,4
1312,AgAuIrRh,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Au|Ir|Rh,4
1313,AgAuMoPd,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Au|Mo|Pd,4
1314,AgAuNiPd,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Ag|Au|Ni|Pd,4
1315,AgAuNiRh,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Au|Ni|Rh,4
1316,AgAuPdPt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,High,Ag|Au|Pd|Pt,4
1317,AgAuPdRu,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Au|Pd|Ru,4
1318,AgAuRhRu,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Low,Ag|Au|Rh|Ru,4
1319,AgCoCrOs,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Cr|Os,4
1320,AgCoCrRh,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Co|Cr|Rh,4
1321,AgCoCuPd,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Cu|Pd,4
1322,AgCoIrPd,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Ir|Pd,4
1323,AgCoMoOs,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Mo|Os,4
1324,AgCoMoRe,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Mo|Re,4
1325,AgCoNiPd,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Ni|Pd,4
1326,AgCoOsPt,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Co|Os|Pt,4
1327,AgCoPdRh,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,High,Ag|Co|Pd|Rh,4
1328,AgCoPtRh,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,High,Ag|Co|Pt|Rh,4
1329,AgCrCuNi,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Cr|Cu|Ni,4
1330,AgCrCuRh,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Cr|Cu|Rh,4
1331,AgCrIrNi,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Cr|Ir|Ni,4
1332,AgCrIrRu,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Cr|Ir|Ru,4
1333,AgCrNiPt,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Cr|Ni|Pt,4
1334,AgCrOsPt,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Cr|Os|Pt,4
1335,AgCrPdRu,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Cr|Pd|Ru,4
1336,AgCrRhRu,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Low,Ag|Cr|Rh|Ru,4
1337,AgCuFeOs,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Cu|Fe|Os,4
1338,AgCuFeRh,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Cu|Fe|Rh,4
1339,AgCuIrPt,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Cu|Ir|Pt,4
1340,AgCuNiPt,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,High,Ag|Cu|Ni|Pt,4
1341,AgCuPdRe,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Low,Ag|Cu|Pd|Re,4
1342,AgCuPtRe,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Low,Ag|Cu|Pt|Re,4
1343,AgFeIrNi,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Fe|Ir|Ni,4
1344,AgFeMoOs,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Fe|Mo|Os,4
1345,AgFeMoRh,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Fe|Mo|Rh,4
1346,AgFeNiPd,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Ag|Fe|Ni|Pd,4
1347,AgFeNiRu,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Fe|Ni|Ru,4
1348,AgFeOsRh,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Fe|Os|Rh,4
1349,AgFePdRh,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,High,Ag|Fe|Pd|Rh,4
1350,AgFeRhRu,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Low,Ag|Fe|Rh|Ru,4
1351,AgIrMoRh,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Ir|Mo|Rh,4
1352,AgIrNiPt,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,High,Ag|Ir|Ni|Pt,4
1353,AgIrPdPt,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Ir|Pd|Pt,4
1354,AgIrPdRu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Ir|Pd|Ru,4
1355,AgIrPtRu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,High,Ag|Ir|Pt|Ru,4
1356,AgMoNiPt,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Ag|Mo|Ni|Pt,4
1357,AgMoNiRu,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Mo|Ni|Ru,4
1358,AgMoOsRh,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Mo|Os|Rh,4
1359,AgMoPdRh,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Mo|Pd|Rh,4
1360,AgMoPtRh,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Low,Ag|Mo|Pt|Rh,4
1361,AgMoRhRu,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Low,Ag|Mo|Rh|Ru,4
1362,AgNbPtRh,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Low,Ag|Nb|Pt|Rh,4
1363,AgNiPdPt,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,High,Ag|Ni|Pd|Pt,4
1364,AgNiPdRu,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Low,Ag|Ni|Pd|Ru,4
1365,AgNiPtRu,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,High,Ag|Ni|Pt|Ru,4
1366,AgOsPdRh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Low,Ag|Os|Pd|Rh,4
1367,AgOsPtRh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,High,Ag|Os|Pt|Rh,4
1368,AgPdPtRh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Low,Ag|Pd|Pt|Rh,4
1369,AgPdReRu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Low,Ag|Pd|Re|Ru,4
1370,AgPtReRu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Low,Ag|Pt|Re|Ru,4
1371,AlCrCuFe,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Al|Cr|Cu|Fe,4
1372,AlCrFeNi,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Al|Cr|Fe|Ni,4
1373,AlCrFeV,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low,Al|Cr|Fe|V,4
1374,AlCrHfW,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High,Al|Cr|Hf|W,4
1375,AlCrMnTi,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,High,Al|Cr|Mn|Ti,4
1376,AlCrMoRe,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High,Al|Cr|Mo|Re,4
1377,AlCrMoW,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High,Al|Cr|Mo|W,4
1378,AlCrReV,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,High,Al|Cr|Re|V,4
1379,AlCrTiW,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High,Al|Cr|Ti|W,4
1380,AlCuFeNi,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Al|Cu|Fe|Ni,4
1381,AlFeMnTi,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low,Al|Fe|Mn|Ti,4
1382,AlHfTiV,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,High,Al|Hf|Ti|V,4
1383,AlMnMoRe,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High,Al|Mn|Mo|Re,4
1384,AlMnVW,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,Al|Mn|V|W,4
1385,AlNbTiV,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,High,Al|Nb|Ti|V,4
1386,AlTiVW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,High,Al|Ti|V|W,4
1387,AuCoCuPd,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Au|Co|Cu|Pd,4
1388,AuCoIrPt,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,High,Au|Co|Ir|Pt,4
1389,AuCoNiPd,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Au|Co|Ni|Pd,4
1390,AuCoOsPt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Low,Au|Co|Os|Pt,4
1391,AuCoPdRh,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,High,Au|Co|Pd|Rh,4
1392,AuCoPtRh,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,High,Au|Co|Pt|Rh,4
1393,AuCrCuPt,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Au|Cr|Cu|Pt,4
1394,AuCrNiPd,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Au|Cr|Ni|Pd,4
1395,AuCrPdPt,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,High,Au|Cr|Pd|Pt,4
1396,AuCrPtRh,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Low,Au|Cr|Pt|Rh,4
1397,AuCuIrPd,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Au|Cu|Ir|Pd,4
1398,AuCuNiPt,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,High,Au|Cu|Ni|Pt,4
1399,AuCuPdRe,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Low,Au|Cu|Pd|Re,4
1400,AuCuPtRe,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Low,Au|Cu|Pt|Re,4
1401,AuFeMoPd,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Au|Fe|Mo|Pd,4
1402,AuFePdRe,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,High,Au|Fe|Pd|Re,4
1403,AuIrMoPd,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Au|Ir|Mo|Pd,4
1404,AuIrOsPd,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Low,Au|Ir|Os|Pd,4
1405,AuIrPdRe,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Low,Au|Ir|Pd|Re,4
1406,AuIrPtRe,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Low,Au|Ir|Pt|Re,4
1407,AuMoNiPd,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Au|Mo|Ni|Pd,4
1408,AuMoPdPt,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Low,Au|Mo|Pd|Pt,4
1409,AuMoPdRu,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,High,Au|Mo|Pd|Ru,4
1410,AuMoPtRu,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Low,Au|Mo|Pt|Ru,4
1411,AuNiOsPd,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Low,Au|Ni|Os|Pd,4
1412,AuNiPdRe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Low,Au|Ni|Pd|Re,4
1413,AuNiPtRe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,High,Au|Ni|Pt|Re,4
1414,AuOsPdPt,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,High,Au|Os|Pd|Pt,4
1415,AuOsPtRh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,High,Au|Os|Pt|Rh,4
1416,AuPdPtRh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,High,Au|Pd|Pt|Rh,4
1417,AuPdReRu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Low,Au|Pd|Re|Ru,4
1418,AuPtReRu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,High,Au|Pt|Re|Ru,4
1419,CoCrCuPd,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low,Co|Cr|Cu|Pd,4
1420,CoCrIrPd,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Co|Cr|Ir|Pd,4
1421,CoCrMnNb,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Co|Cr|Mn|Nb,4
1422,CoCrMoW,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,High,Co|Cr|Mo|W,4
1423,CoCrNiPt,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,High,Co|Cr|Ni|Pt,4
1424,CoCrPdPt,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,High,Co|Cr|Pd|Pt,4
1425,CoCrPtRh,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,High,Co|Cr|Pt|Rh,4
1426,CoCuIrPt,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,High,Co|Cu|Ir|Pt,4
1427,CoCuOsPd,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Low,Co|Cu|Os|Pd,4
1428,CoCuPdRe,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,High,Co|Cu|Pd|Re,4
1429,CoCuPtRe,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,High,Co|Cu|Pt|Re,4
1430,CoFeMnNi,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Co|Fe|Mn|Ni,4
1431,CoIrNiPd,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Co|Ir|Ni|Pd,4
1432,CoIrOsPt,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,High,Co|Ir|Os|Pt,4
1433,CoIrPdRh,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,High,Co|Ir|Pd|Rh,4
1434,CoIrPtRh,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,High,Co|Ir|Pt|Rh,4
1435,CoMoNiPd,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Co|Mo|Ni|Pd,4
1436,CoMoOsPt,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,High,Co|Mo|Os|Pt,4
1437,CoMoPdRh,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,High,Co|Mo|Pd|Rh,4
1438,CoMoPtRh,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,High,Co|Mo|Pt|Rh,4
1439,CoNiOsPt,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,High,Co|Ni|Os|Pt,4
1440,CoNiPdRh,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,High,Co|Ni|Pd|Rh,4
1441,CoNiPtRh,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,High,Co|Ni|Pt|Rh,4
1442,CoOsPdRe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,High,Co|Os|Pd|Re,4
1443,CoOsPtRe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,High,Co|Os|Pt|Re,4
1444,CoPdPtRe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,High,Co|Pd|Pt|Re,4
1445,CoPdReRh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,High,Co|Pd|Re|Rh,4
1446,CoPtReRh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,High,Co|Pt|Re|Rh,4
1447,CrCuFeMn,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Cr|Cu|Fe|Mn,4
1448,CrCuFeNi,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Cr|Cu|Fe|Ni,4
1449,CrCuFeW,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,Cr|Cu|Fe|W,4
1450,CrCuMnV,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low,Cr|Cu|Mn|V,4
1451,CrCuMoTi,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low,Cr|Cu|Mo|Ti,4
1452,CrCuNbTa,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,Cr|Cu|Nb|Ta,4
1453,CrCuNbW,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,Cr|Cu|Nb|W,4
1454,CrCuOsPd,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Low,Cr|Cu|Os|Pd,4
