,combination,Ag,Au,Co,Cr,Cu,Fe,Mo,Ni,Pd,Pt,Label,set_name,length
351,AgCuPt,1,0,0,0,1,0,0,0,0,1,High,Ag|Cu|Pt,3
354,AgFeNi,1,0,0,0,0,1,0,1,0,0,Low,Ag|Fe|Ni,3
358,AgNiPt,1,0,0,0,0,0,0,1,0,1,Low,Ag|Ni|Pt,3
359,AgPdPt,1,0,0,0,0,0,0,0,1,1,High,Ag|Pd|Pt,3
377,AuCoCu,0,1,1,0,1,0,0,0,0,0,Low,Au|Co|Cu,3
378,AuCoMo,0,1,1,0,0,0,1,0,0,0,Low,Au|Co|Mo,3
379,AuCoPd,0,1,1,0,0,0,0,0,1,0,Low,Au|Co|Pd,3
381,AuCuFe,0,1,0,0,1,1,0,0,0,0,Low,Au|Cu|Fe,3
382,AuCuNi,0,1,0,0,1,0,0,1,0,0,High,Au|Cu|Ni,3
383,AuCuPt,0,1,0,0,1,0,0,0,0,1,High,Au|Cu|Pt,3
386,AuFeNi,0,1,0,0,0,1,0,1,0,0,Low,Au|Fe|Ni,3
390,AuMoPd,0,1,0,0,0,0,1,0,1,0,Low,Au|Mo|Pd,3
391,AuNiPd,0,1,0,0,0,0,0,1,1,0,High,Au|Ni|Pd,3
393,AuPdPt,0,1,0,0,0,0,0,0,1,1,High,Au|Pd|Pt,3
402,CoCrPd,0,0,1,1,0,0,0,0,1,0,Low,Co|Cr|Pd,3
405,CoCuNi,0,0,1,0,1,0,0,1,0,0,High,Co|Cu|Ni,3
406,CoCuPt,0,0,1,0,1,0,0,0,0,1,High,Co|Cu|Pt,3
413,CoMoNi,0,0,1,0,0,0,1,1,0,0,High,Co|Mo|Ni,3
415,CoNiPt,0,0,1,0,0,0,0,1,0,1,High,Co|Ni|Pt,3
421,CrCuMo,0,0,0,1,1,0,1,0,0,0,Low,Cr|Cu|Mo,3
422,CrCuPd,0,0,0,1,1,0,0,0,1,0,Low,Cr|Cu|Pd,3
445,CrNiPt,0,0,0,1,0,0,0,1,0,1,High,Cr|Ni|Pt,3
446,CrPdPt,0,0,0,1,0,0,0,0,1,1,High,Cr|Pd|Pt,3
454,CuFeNi,0,0,0,0,1,1,0,1,0,0,High,Cu|Fe|Ni,3
460,CuNiPd,0,0,0,0,1,0,0,1,1,0,High,Cu|Ni|Pd,3
476,FeMoNi,0,0,0,0,0,1,1,1,0,0,High,Fe|Mo|Ni,3
518,MoNiPd,0,0,0,0,0,0,1,1,1,0,Low,Mo|Ni|Pd,3
539,NiPdPt,0,0,0,0,0,0,0,1,1,1,High,Ni|Pd|Pt,3
