,materials,DST_High,DST_Low,DST_Uncertainty,Label,index
0,Cu|Pt,0.35134348110038305,0.0,0.648656518899617,High,4
1,Fe|Pd,0.3188733273349896,0.0,0.6811266726650104,High,8
2,Mo|Cr,0.2774620969469697,0.0,0.7225379030530303,High,15
3,Zr|Hf,0.1706071501863936,0.0,0.8293928498136064,High,48
4,Au|V,0.15999001921694722,0.0,0.8400099807830528,High,55
